"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: EXPECTED_TABLE_SIZE","Param: size"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,4772821.669346785,504621.3992395824,"ops/s","3000","4"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,4253481.829603566,622059.3055001339,"ops/s","3000","5"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,3296185.7672932483,801290.0873904732,"ops/s","3000","6"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,2963071.968462017,469084.8228596354,"ops/s","3000","7"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,2542193.784307112,298449.90037413494,"ops/s","3000","8"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,2358435.9288611673,201803.60342150787,"ops/s","3000","9"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,2100936.380841947,399673.9508792624,"ops/s","3000","10"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,970637.6264236383,224123.6958251884,"ops/s","3000","20"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,911801.1218010084,141520.70533380067,"ops/s","3000","30"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,523644.6070253202,75814.88296351428,"ops/s","3000","40"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,545908.4709690766,82859.16589214878,"ops/s","3000","50"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,413400.86319168506,36320.420514114216,"ops/s","3000","60"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,366834.57691854495,21991.75782498847,"ops/s","3000","70"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,283068.4702458176,34176.126809816386,"ops/s","3000","80"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,255538.69555081404,18071.92795526509,"ops/s","3000","90"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,229174.48860588213,29881.81423317921,"ops/s","3000","100"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,82544.74921969115,10576.80087030078,"ops/s","3000","200"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,54296.35077786157,9037.105942571023,"ops/s","3000","300"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,36099.23285498185,1627.287631219807,"ops/s","3000","400"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,32488.436299217257,1773.8011678992566,"ops/s","3000","500"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,22513.868185489526,869.1496222677472,"ops/s","3000","600"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,24527.632124372547,3538.6189043232116,"ops/s","3000","700"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,17151.42683915072,1814.406709457793,"ops/s","3000","800"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,15229.021771597369,845.6948904813096,"ops/s","3000","900"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,12090.791231567344,688.1187098882873,"ops/s","3000","1000"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,6765.802880300897,217.00777863012289,"ops/s","3000","2000"
